学校ID,登録番号,書名,書名ヨミ,書名巻次,版次,叢書名,叢書名ヨミ,叢書名巻次,タイトル関連情報,タイトル関連情報ヨミ,各巻書名,各巻書名ヨミ,各巻書名巻次,著者,著者ヨミ,各巻著者,各巻著者ヨミ,出版地,出版者,出版年,ページ数,サイズ,一般注記,ISBN,ISBN13,TRCナンバー,件名,件名ヨミ,内容,自校分類,NDC,TRC,書誌ID,請求記号,受入年月日
160,160-0-1128,熊本御城下の町人,クマモト／ゴジョウカ／ノ／チョウニン,,,郷土文化叢書,キョウド／ブンカ／ソウショ,３,古町むかし話,フルマチ／ムカシ／バナシ,,,,岡崎／鴻吉∥篇,オカザキ，コウキチ,,,熊本,日本談義社,１９５２．１０,２９５ｐ,１９ｃｍ,,,,,,,,092,,0,160-687194783301,"092-オ ",1952-11-07
160,160-0-2572,西村誌,ニシソンシ,,,,,,,,,,,,,,,球磨郡西村,尾方等,１９５５．３,２０８ｐ,２５ｃｍ,,,,,,,,093,,0,160-687194787017,"093-ニ ",1955-09-05
160,160-0-4201,幸野溝,コウノミゾ,,,,,,,,,,,"渋谷／敦∥著  岩下／新吉∥著","シブヤ，アツシ  イワシタ，シンキチ",,,湯前町,幸野溝土地改良区,１９５８・３,２０５，４ｐ,２１ｃｍ,,,,,,,,095,,0,160-687194781257,"095-シ ",1958-04-16
160,160-0-5957,木上村史,キノエ／ソンシ,,,,,,,,,,,高田／素次∥編著,タカダ，モトツグ,,,錦村,木上村史編纂委員会,１９６１．１２,２４０，６０，４ｐ,２２ｃｍ,,,,,,,,092,,0,160-687194782824,"092-キ ",1961-12-11
160,160-0-6929,"古今和歌集  新古今和歌集","コキン／ワカシュウ  シン／コキン／ワカシュウ",,,古典日本文学全集,コテン／ニホン／ブンガク／ゼンシュウ,１２,,,,,,,,,,東京,筑摩書房,１９６２．３,４０４ｐ,２３ｃｍ,,,,,,,,918,,0,160-687194779301,910-コ-12,1963-05-21
160,160-0-7176,土壌線虫,ドジョウ／センチュウ,,,,,,生態と防除,セイタイ／ト／ボウジョ,,,,横尾／多美男∥著,ヨコオ，タミオ,,,東京,明文堂,１９５９,５４１ｐ,２６ｃｍ,,,,,線虫類　作物病虫害,センチュウルイ／サクモツビョウチュウガイ,,613,615,0,160-687194789929,"613-ヨ ",1963-12-04
160,160-0-7185,最新技術＝園芸全編,サイシン／ギジュツ／エンゲイ／センヘン,,,,,,,,,,,清水／茂∥著,シミズ，シゲル,,,,養賢堂,１９６３．１１,８８９ｐ,２２ｃｍ,,,,,,,,620,620,0,160-687194777223,"620-シ ",1963-12-04
160,160-0-8125,原色日本樹木図鑑,ゲンショク／ニホン／ジュモク／ズカン,,,,,,,,,,,岡本／省吾∥編,オカモト，ショウゴ,,,東京,保育社,１９６５．２,３０６ｐ,２２ｃｍ,,,,,,,,470,,0,160-687194784895,"470-オ ",1965-04-19
160,160-0-8133,原色日本蝶類幼虫大図鑑,ゲンショク／ニホン／チョウルイ／ヨウチュウ／ダイズカン,第１巻,,,,,,,,,,"白水／隆∥共著  原／章∥共著","シロウズ，タカシ  ハラ，アキラ",,,大阪,保育社,１９６０,１４２ｐ図版６０ｐ,２７ｃｍ,,,,,蝶,チョウ,アゲハチョウ科，シロチョウ科，マダラチョウ科，ジャノメチョウ科，テングチョウ科，シジミチョウ科，セセリチョウ科，日本産蝶類生態要目一覧,486,486,0,160-687194789928,"486-シ ",1965-04-19
160,160-0-8160,校庭緑化,コウテイ／リョクカ,,,,,,,,,,,吉田／徳治∥著,ヨシダ，トクジ,,,東京,農業図書,１９６１・１１,２１５ｐ,２６ｃｍ,,,,,,,,629,,0,160-687194784894,"629-ヨ ",1965-04-23
160,160-0-8329,日本幼虫図鑑　,ニホン／ヨウチュウ／ズカン,,,,,,,,,,,河田／党∥著,カワダ，アキラ,,,東京,北隆館,１９５９,７１２，７３，５０ｐ図版　,２２ｃｍ,,,,,昆虫　図鑑,コンチュウ　ズカン,,480,486,0,160-687194789926,"480-カ ",1965-05-27
160,160-0-9426,熊本県方言風土記,クマモトケン／ホウゲン／フドキ,,,,,,,,,,,田中／正行∥著,タナカ，マサユキ,,,熊本市,日本談義社,１９６６．１１,２２０ｐ,１９ｃｍ,,,,,,,,098,,0,160-687194782454,"098-タ ",1966-12-08
160,160-0-9948,友情　愛と死,ユウジョウ／アイ／ト／シ,,,,,,,,,,,武者小路／実篤∥著,ムシャノコウジ，サネアツ,,,東京,旺文社,１９６８,３２０ｐ,１６ｃｍ,,,,,,,,080,080,0,160-687194777191,"080-ム ",1968-09-20
160,160-0-11418,いかにして問題をとくか,イカニシテ／モンダイ／オ／トクカ,,,,,,,,,,,"Ｇ・ポリア‖著  柿内／賢信‖訳","ポリア，Ｇ  カキウチ，ケンシン",,,東京,丸善,１９６８．８,２４８ｐ,１８ｃｍ,,,,,,,,410,,0,160-687194787286,"410-ポ ",1969-08-25
160,160-0-11680,花卉園芸総説,カキ／エンゲイ／ソウセツ,,,,,,,,,,,穂坂／八郎∥著,ホサカ，ハチロウ,,,,地球出版,１９６８．１１,２３４ｐ,Ａ５,,,,,,,,627,627,0,160-687194777425,"627-ホ ",1969-12-08
160,160-0-11969,原色樹木検索図鑑,ゲンショク／ジュモク／ケンサク／ズカン,,,,,,,,,,,"石井／忠∥著  天野／","イシイ  アマノ",,,東京,北隆館,１９６４．３,２１１ｐ,２１ｃｍ,,,,,,,,470,,0,160-687194784892,"470-ア ",1970-04-10
160,160-0-12694,カイコによる新生物実験,カイコ／ニ／ヨル／シン／セイブツ／ジッケン,,,,,,生物科学の展開,セイブツ／カガク／ノ／テンカイ,,,,森／精∥編,モリ，タダス,,,東京,三省堂,１９７０,４９１ｐ図,２７ｃｍ,,,,,生物学／蚕　実験,セイブツガク／カイコ　ジッケン／,,461,461,0,160-687194789940,"461-モ ",1971-02-22
160,160-0-12863,変貌する須恵村,ヘンボウスル／スエムラ,,,,,,,,,,,牛島／盛光∥著,ウシジマ，モリミツ,,,京都,ミネルヴァ書房,１９７１．５,３１３，４２ｐ,２２ｃｍ,,,,,,,,093,,0,160-687194782136,"093-ウ ",1971-07-24
160,160-0-13300,神秘なサボテン,シンピ／ナ／サボテン,,,,,,,,,,,伊藤／芳夫∥著,イトウ，ヨシオ,,,東京,農業図書,１９６３．１,２３６ｐ,,,,,,,,,627,627,0,160-687194776744,"627-イ ",1972-02-10
160,160-0-13719,新訳　求麻外史,シンヤク／クマ／ガイシ,,,,,,,,,,,"田代／政?∥著  堂屋敷／竹次郎∥訳註  牛島／盛光∥監修  高田／素次∥解題","タシロ，  ドウヤシキ，タケジロウ  ウシジマ，モリミツ  タカダ，モトツグ",,,熊本市,青潮社,１９７２．３,２４８，３８ｐ,２２ｃｍ,,,,,,,,092,,0,160-687194782370,"092-タ ",1972-08-21
160,160-0-14161,球磨郡誌,クマ／グンシ,上巻,,,,,,,,,,球磨郡教育支会∥編著,クマグン／キョウイク／シカイ,,,東京,名著出版,１９７３．３,７５３ｐ,２２ｃｍ,,,,,,,,092,,0,160-687194782831,092-ク-1,1973-06-30
160,160-0-14174,水俣　深き淵より,ミナマタ／フカキ／フチ／ヨリ,,,,,,塩野武史写真報告,シオノ／タケシ／シャシン／ホウコク,,,,塩野／武史∥著,シオノ，タケシ,,,福岡,西日本新聞社,１９７３．３,１６６ｐ,,,,,,水俣病,ミナマタビョウ,,095,,0,160-687194783242,"095-シ ",1973-07-07
